"CODE","ja"
"FIF_NET_WAT","水関連施設"
"FIF_PROP_MAR","エディターマーカー"
"FIF_NET_TNR","狭い道路"
"FIF_NET_UTI","電線・水道管"
"FIF_NET_TRA","鉄道"
"FIF_SET_PM","ゲームモードでエディターマーカーのプロップを表示"
"FIF_SET_PMTP","これらのプロップは目に見えず、ほとんどのゲームモードでは動作しません。削除するにはMove It!を使用します"
"FIF_SET_IC","各アセットで既存のインスタンス数を表示します"
"FIF_EF_UN","未使用のアセット"
"FIF_QM_TIT","クイックメニュー"
"FIF_UIS_UN","未使用"
"FIF_UIS_IN","使用中"
"FIF_SET_ICTP","このオプションは検索を少し遅くします。不要な場合は無効にしてください"
"FIF_SET_PO","Procedural Objectsを含む"
"FIF_SET_ICO","オリジナルの並べ替えを使用"
"FIF_SET_ICUS","使用中アセットを優先表示"
"FIF_SET_ICUN","未使用アセットを優先表示"
"FIF_TAG_BATTP","一括編集"
"FIF_SE_SEBTP","検索ボックスをクリア"
"FIF_SET_DB","Steamオーバーレイの代わりに、OSのデフォルトブラウザを使用する"
"FIF_SET_DBTP","アセットのサムネイルにあるSteamアイコンを右クリックすると、ワークショップでアセットを確認できます"
"FIF_NET_ONE","一方通行の道路"
"FIF_NET_PAR","路上駐車を許可"
"FIF_NET_NOP","路上駐車は不可"
"FIF_PROP_VEH","未分類の車両"
"FIF_PROP_TRE","ツリー"
"FIF_SET_BACK","メインパネルに明るい背景色を使用する"
"FIF_SET_BACKTP","暗いアセットは見やすくなりますが、逆に明るいアセットが見にくいです"
"FIF_SET_DUN","将来の更新通知を無効"
"FIF_PROP_MOT","自動車"
"FIF_PROP_RAI","鉄道"
"FIF_PROP_AIR","航空機"
"FIF_PROP_WAT","船舶"
"FIF_EF_SB","サブビルディング"
"FIF_ATP_TP","右クリックでパネルをドラッグして移動"
"FIF_SET_ATP","アセットタイプのパネルを表示"
"FIF_EF_CT","カスタムタグあり"
"FIF_EF_NCT","カスタムタグなし"
"FIF_UPN_UP","更新"
"FIF_PROP_TC","地形に追従"
"FIF_PROP_NTC","地形に非追従"
"FIF_SET_SSK","アセットタイプごとに別々の検索クエリキーワードを使用する"
"FIF_SET_SSKTP","アセットタイプの切り替えでSHIFTを押したままで、クエリキーワードを一時的に共有できます"
"FIF_TAG_SA","全て選択"
"FIF_TAG_SATP","検索した全てのアセットを選択"
"FIF_EF_UNEXP","全てエクスポート"
"FIF_EF_UNEXPTP","未使用なワークショップIDのリストを、URLのリンク付きでHTMLファイルにエクスポート"
"FIF_EF_UNEXPSE","検索済みをエクスポート"
"FIF_EF_UNEXPTPSE","前回の検索で未使用なワークショップIDのリストを、URLのリンク付きでHTMLファイルにエクスポート"
"FIF_EF_LC","ローカル カスタム"
"FIF_EF_WC","ワークショップ カスタム"
"FIF_EF_DLC","DLC/CCPが必要"
"FIF_LOC_TOOL","クリックして選択済みのアセットから、次のインスタンスを探します。SHIFTを押しながらクリックすると、次のPOインスタンスを探します"
"FIF_REF_DIS","既存アセットのインスタンス数を更新"
"FIF_EF_US","使用中のアセット"
"FIF_EF_USEXPTP","全て使用中なワークショップIDのリストを、URLのリンク付きでHTMLファイルにエクスポート"
"FIF_EF_USEXPTPSE","最後の検索で使用中なワークショップIDのリストを、URLのリンクを含むHTMLファイルにエクスポート"
"FIF_SE_SIZEX","X部分をクリックすると、建物サイズのフィルターをリセット"
"FIF_SET_UIVP","バニラのパネルでは、Find It! 2の追加UIを表示しない(再起動が必要)"
"FIF_SET_UIVPTP","カスタムタグのアイコン・スチームのアイコン・DLCのアイコンの表示"
"FIF_DOU_MESH","Mesh Infoで表示"
"FIF_DOU_MESHNO","Mesh Info MODが未インストール・有効化されていない"
"FIF_DOU_MESHTYPE","Mesh Info MODはネットワーク以外のカスタムアセットに対応"
"FIF_DOU_MESHOPEN","Mesh Info MODでアセットの情報を見る"
"FIF_DOU_RICO","RICO Revisitedで表示"
"FIF_DOU_RICONO","Ploppable RICO Revisited MODが未インストール・有効化されていない"
"FIF_DOU_RICOTYPE","Ploppable RICO Revisited MODは建物系のアセットに対応"
"FIF_DOU_RICOOPEN","Ploppable RICO Revisited MODでアセットの情報を見る"
"FIF_DOU_FOLD","フォルダを開く"
"FIF_DOU_FOLDCUS","この機能はカスタムアセットでのみ動作"
"FIF_DOU_FOLDOPEN","このアセットがある親フォルダを開く"
"FIF_UIS_CNWS","ワークショップ以外のカスタムアセット"
"FIF_NET_BUS","バスレーン"
"FIF_NET_TRO","トロリーバスレーン"
"FIF_NET_BIK","自転車レーン"
"FIF_NET_TRM","トラムの軌道"
"FIF_NET_MET","地下鉄の軌道"
"FIF_SET_REC","最近のDLした順でソート(再起動が必要)"
"FIF_SET_RECPC","親フォルダの作成日"
"FIF_SET_RECPM","親フォルダの更新時"
"FIF_SET_RECFC","CRPファイルの作成日"
"FIF_SET_RECFM","CRPファイルの更新日"
"FIF_SET_DIS","検索時のリアルタイムサーチを無効化して、ENTERを押してから検索を開始します"
"FIF_SET_DISTP","このオプションを使用すると、検索ボックス入力時のラグが軽減できます"
"FIF_SET_STAB","検索タブを表示"
"FIF_STAB_NTAB","新規タブ"
"FIF_SET_DSK","Find It!のパネルを閉じた時は、セカンダリのキーボードショートカットを無効化"
"FIF_SET_DSKTP","TM:PEとの競合を避けます。 Find It!のパネルを閉じても、メインのキーボードショートカットが機能します"
"FIF_SET_CFFL","設定ファイルの場所"
"FIF_DOU_WS","Steamのワークショップ"
"FIF_DOU_WS_STEAM","Steam経由"
"FIF_DOU_WS_BROWSER","既定のブラウザー経由"
"FIF_DOU_WS_NOID","この機能は、SteamのワークショップIDを持つアセットのみ有効です"
"FIF_DOU_WS_STEAMTP","ワークショップにあるアセットを、Steamオーバーレイで確認する"
"FIF_DOU_WS_BROWSERTP","ワークショップにあるアセットを、既定のブラウザーで確認する"
"FIF_SET_RES_PANEL","閉じた時はFind It! のパネルをリセット"
"FIF_SET_RES_PANELTP","パネルを閉じた時に、Find It! のオプションを全てリセットします"
"FIF_SE_ICONTP","検索結果をエクスポート"
"FIF_EXPORT_SEARCH","検索結果をHTMLファイルにエクスポートします"
"FIF_EF_DS","地区スタイル"
"FIF_SET_CHA","アセット作成者が指定したアセットを検索結果から非表示にすることを許可"
"FIF_SET_CHATP","説明文に「creator_hidden」が含まれるアセットは、今後の検索結果から除外します。"
"FIF_GR_RW2W","連接住宅"
"FIF_GR_CW2W","連接商業"
"FIF_GR_OW2W","連接オフィス"
"FIF_NET_ZPATH","ゾーニング可能なパス"
"FIF_PLOP_SP","サービス地点"
